Sr_No,Name_of_the_Parliamentary_Constituency,Men_Electors_in_2014,Men_Voters_in_2014,Percentage_of_Men_Voters_over_Men_Electors_in_2014,Women_Electors_in_2014,Women_Voters_in_2014,Percentage_of_Women_Voters_over_Men_Electors_in_2014,Others_Electors_in_2014,Others_Voters_in_2014,Percentage_of_other_Voters_in_2014,Total _Electors_ in_ 2014,Total_Voters_in_2014,Percentage_of_Total_Voters_over_Total_Electors_in_2014
1,Tiruvallur (SC),852794,644387,75.56,849777,609702,71.75,262,23,8.78,1702833,1254112,73.65
2,Chennai North,707700,463981,65.56,714428,445554,62.37,264,4,1.52,1422392,909539,63.94
3,Chennai South,901211,556403,61.74,894252,527433,58.98,313,11,3.51,1795776,1083847,60.36
4,Chennai Central,665282,421903,63.42,662504,392161,59.19,252,15,5.95,1328038,814079,61.3
5,Sriperumpudur ,982862,665892,67.75,963377,620230,64.38,264,5,1.89,1946503,1286127,66.07
6,Kancheepuram (SC),736993,572957,77.74,742956,554099,74.58,174,0,0,1480123,1127056,76.15
7,Arakkonam,693100,543169,78.37,708671,543863,76.74,42,10,23.81,1401813,1087042,77.55
8,Vellore,652066,483341,74.12,660173,490341,74.27,20,5,25,1312259,973687,74.2
9,Krishnagiri,705468,546295,77.44,674363,522804,77.53,126,18,14.29,1379957,1069117,77.47
10,Dharmapuri,696496,567657,81.5,661700,533724,80.66,77,35,45.45,1358273,1101416,81.09
11,Tiruvannamalai,675321,527265,78.08,677622,536809,79.22,23,2,8.7,1352966,1064076,78.65
12,Arani,683921,546222,79.87,685715,546279,79.67,32,1,3.13,1369668,1092502,79.76
13,Villupuram (SC),694932,535359,77.04,691942,528788,76.42,133,11,8.27,1387007,1064158,76.72
14,Kallakurichi,707219,541221,76.53,705147,562429,79.76,133,12,9.02,1412499,1103662,78.14
15,Salem,759981,593293,78.07,738253,555869,75.3,116,12,10.34,1498350,1149174,76.7
16,Namakkal,661113,532212,80.5,668368,526436,78.76,71,28,39.44,1329552,1058676,79.63
17,Erode,656661,510564,77.75,664670,495852,74.6,68,13,19.12,1321399,1006429,76.16
18,Tiruppur,697730,543168,77.85,677801,505372,74.56,58,4,6.9,1375589,1048544,76.23
19,The Nilgiris (SC),629707,472256,75,639433,458764,71.75,33,4,12.12,1269173,931024,73.36
20,Coimbatore,869033,608444,70.01,851127,565861,66.48,61,7,11.48,1720221,1174312,68.27
21,Pollachi,686943,513435,74.74,694524,496880,71.54,38,6,15.79,1381505,1010321,73.13
22,Dindigul,696159,538102,77.3,704265,544003,77.24,107,24,22.43,1400531,1082129,77.27
23,Karur,641693,510504,79.56,656598,533334,81.23,31,19,61.29,1298322,1043857,80.4
24,Tiruchirappalli,689228,490711,71.2,697829,494904,70.92,83,40,48.19,1387140,985655,71.06
25,Perambalur,634391,498647,78.6,651159,528957,81.23,26,18,69.23,1285576,1027622,79.93
26,Cuddalore,625652,485201,77.55,622218,497002,79.88,38,5,13.16,1247908,982208,78.71
27,Chidambaram (SC),686862,530346,77.21,679307,556097,81.86,21,1,4.76,1366190,1086444,79.52
28,Mayiladuthurai,679940,503104,73.99,670377,520845,77.69,1,1,100,1350318,1023950,75.83
29,Nagapattinam (SC),606339,452899,74.69,604280,486855,80.57,7,2,28.57,1210626,939756,77.63
30,Thanjavur,662576,480904,72.58,677460,528697,78.04,14,3,21.43,1340050,1009604,75.34
31,Sivaganga,704489,474734,67.39,707884,551559,77.92,0,0,0,1412373,1026293,72.66
32,Madurai,717175,483389,67.4,724206,490525,67.73,53,26,49.06,1441434,973940,67.57
33,Theni,720709,528940,73.39,720492,546154,75.8,101,13,12.87,1441302,1075107,74.59
34,Virudhunagar,669589,496203,74.11,680818,512880,75.33,88,36,40.91,1350495,1009119,74.72
35,Ramanathapuram,731526,465142,63.59,724382,534167,73.74,80,14,17.5,1455988,999323,68.64
36,Thoothukudi,651207,448396,68.86,659197,466414,70.75,2,1,50,1310406,914811,69.81
37,Tenkasi (SC),688958,489624,71.07,693084,525986,75.89,39,3,7.69,1382081,1015613,73.48
38,Tirunelveli,705592,468701,66.43,714823,492310,68.87,20,2,10,1420435,961013,67.66
39,Kanniyakumari,743378,488828,65.76,724348,501284,69.2,70,2,2.86,1467796,990114,67.46
Total,State Total,27571996,20223799,73.35,27539530,20331223,73.83,3341,436,13.05,55114867,40555458,73.58
